Facilities,SKU_Code,SKU_Name,Inventory Units,inventory_in_transfer_qty,snapshot_date
WH-MUM,BGT_SKU_041,Shaving Foam Sensitive (Var 41),109,1,2025-05-26
WH-MUM,BGT_SKU_042,Anti-Aging Cream (Var 42),222,0,2025-05-26
WH-MUM,BGT_SKU_043,Fragrance Eau De Parfum (Var 43),15,0,2025-05-26
WH-MUM,BGT_SKU_044,Shaving Foam Sensitive (Var 44),69,0,2025-05-26
WH-MUM,BGT_SKU_045,Acne Spot Treatment (Var 45),0,0,2025-05-26
WH-MUM,BGT_SKU_046,Hydrating Face Wash (Var 46),43,2,2025-05-26
WH-MUM,BGT_SKU_047,Shaving Foam Sensitive (Var 47),174,3,2025-05-26
WH-MUM,BGT_SKU_048,Eye Cream Dark Circles (Var 48),121,19,2025-05-26
WH-MUM,BGT_SKU_049,Night Repair Oil (Var 49),339,0,2025-05-26
WH-MUM,BGT_SKU_050,After Shave Balm (Var 50),249,0,2025-05-26
WH-MUM,BGT_SKU_051,After Shave Balm (Var 51),127,0,2025-05-26
WH-MUM,BGT_SKU_052,Exfoliating Scrub (Var 52),270,7,2025-05-26
WH-MUM,BGT_SKU_053,Charcoal Face Mask (Var 53),0,0,2025-05-26
WH-MUM,BGT_SKU_054,Conditioner Argan Oil (Var 54),238,0,2025-05-26
WH-MUM,BGT_SKU_055,Hydrating Face Wash (Var 55),435,12,2025-05-26
WH-MUM,BGT_SKU_056,Styling Gel Strong Hold (Var 56),420,0,2025-05-26
WH-MUM,BGT_SKU_057,Deodorant Fresh (Var 57),108,0,2025-05-26
WH-MUM,BGT_SKU_058,Vitamin C Serum (Var 58),413,0,2025-05-26
WH-MUM,BGT_SKU_059,Eye Cream Dark Circles (Var 59),0,0,2025-05-26
WH-MUM,BGT_SKU_060,Conditioner Argan Oil (Var 60),0,0,2025-05-26
WH-MUM,BGT_SKU_061,Vitamin C Serum (Var 61),278,37,2025-05-26
WH-MUM,BGT_SKU_062,Acne Spot Treatment (Var 62),405,43,2025-05-26
WH-MUM,BGT_SKU_063,Eye Cream Dark Circles (Var 63),331,0,2025-05-26
WH-MUM,BGT_SKU_064,Charcoal Face Mask (Var 64),291,0,2025-05-26
WH-MUM,BGT_SKU_065,Anti-Aging Cream (Var 65),271,15,2025-05-26
WH-MUM,BGT_SKU_066,Vitamin C Serum (Var 66),11,2,2025-05-26
WH-MUM,BGT_SKU_067,Shaving Foam Sensitive (Var 67),358,0,2025-05-26
WH-MUM,BGT_SKU_068,Beard Oil Premium (Var 68),488,0,2025-05-26
WH-MUM,BGT_SKU_069,Lip Balm Tinted (Var 69),15,2,2025-05-26
WH-MUM,BGT_SKU_070,After Shave Balm (Var 70),75,0,2025-05-26
WH-MUM,BGT_SKU_071,Acne Spot Treatment (Var 71),421,30,2025-05-26
WH-MUM,BGT_SKU_072,Conditioner Argan Oil (Var 72),223,0,2025-05-26
WH-MUM,BGT_SKU_073,Acne Spot Treatment (Var 73),194,0,2025-05-26
WH-MUM,BGT_SKU_074,Night Repair Oil (Var 74),157,29,2025-05-26
WH-MUM,BGT_SKU_075,Eye Cream Dark Circles (Var 75),463,0,2025-05-26
WH-MUM,BGT_SKU_076,Styling Gel Strong Hold (Var 76),132,0,2025-05-26
WH-MUM,BGT_SKU_077,Beard Oil Premium (Var 77),159,17,2025-05-26
WH-MUM,BGT_SKU_078,Vitamin C Serum (Var 78),73,2,2025-05-26
WH-MUM,BGT_SKU_079,Conditioner Argan Oil (Var 79),300,0,2025-05-26
WH-MUM,BGT_SKU_080,Acne Spot Treatment (Var 80),0,0,2025-05-26
WH-MUM,BGT_SKU_081,Deodorant Fresh (Var 81),322,41,2025-05-26
WH-MUM,BGT_SKU_082,Conditioner Argan Oil (Var 82),478,16,2025-05-26
WH-MUM,BGT_SKU_083,Conditioner Argan Oil (Var 83),456,49,2025-05-26
WH-MUM,BGT_SKU_084,Night Repair Oil (Var 84),48,0,2025-05-26
WH-MUM,BGT_SKU_085,Shaving Foam Sensitive (Var 85),484,0,2025-05-26
WH-MUM,BGT_SKU_086,Sunscreen SPF 50 (Var 86),0,0,2025-05-26
WH-MUM,BGT_SKU_087,After Shave Balm (Var 87),442,15,2025-05-26
WH-MUM,BGT_SKU_088,Body Lotion Cocoa (Var 88),386,0,2025-05-26
WH-MUM,BGT_SKU_089,Fragrance Eau De Parfum (Var 89),365,38,2025-05-26
WH-MUM,BGT_SKU_090,Conditioner Argan Oil (Var 90),31,5,2025-05-26
WH-MUM,BGT_SKU_091,Lip Balm Tinted (Var 91),358,0,2025-05-26
WH-MUM,BGT_SKU_092,Deodorant Fresh (Var 92),303,0,2025-05-26
WH-MUM,BGT_SKU_093,Acne Spot Treatment (Var 93),421,2,2025-05-26
WH-MUM,BGT_SKU_094,Body Lotion Cocoa (Var 94),456,0,2025-05-26
WH-MUM,BGT_SKU_095,Anti-Aging Cream (Var 95),79,0,2025-05-26
WH-MUM,BGT_SKU_096,Body Lotion Cocoa (Var 96),429,0,2025-05-26
WH-MUM,BGT_SKU_097,Charcoal Face Mask (Var 97),21,1,2025-05-26
WH-MUM,BGT_SKU_098,Hair Growth Shampoo (Var 98),267,0,2025-05-26
WH-MUM,BGT_SKU_099,Charcoal Face Mask (Var 99),211,0,2025-05-26
WH-MUM,BGT_SKU_100,Conditioner Argan Oil (Var 100),59,0,2025-05-26
WH-GGN,BGT_SKU_001,Styling Gel Strong Hold (Var 1),355,0,2025-05-26
WH-GGN,BGT_SKU_002,Night Repair Oil (Var 2),134,0,2025-05-26
WH-GGN,BGT_SKU_003,Hydrating Face Wash (Var 3),306,10,2025-05-26
WH-GGN,BGT_SKU_004,Deodorant Fresh (Var 4),0,0,2025-05-26
WH-GGN,BGT_SKU_005,Exfoliating Scrub (Var 5),440,0,2025-05-26
WH-GGN,BGT_SKU_006,Styling Gel Strong Hold (Var 6),0,0,2025-05-26
WH-GGN,BGT_SKU_007,Charcoal Face Mask (Var 7),0,0,2025-05-26
WH-GGN,BGT_SKU_008,Styling Gel Strong Hold (Var 8),220,0,2025-05-26
WH-GGN,BGT_SKU_009,Fragrance Eau De Parfum (Var 9),46,5,2025-05-26
WH-GGN,BGT_SKU_010,Shaving Foam Sensitive (Var 10),273,48,2025-05-26
WH-GGN,BGT_SKU_011,Sunscreen SPF 50 (Var 11),206,2,2025-05-26
WH-GGN,BGT_SKU_012,Styling Gel Strong Hold (Var 12),156,19,2025-05-26
WH-GGN,BGT_SKU_013,Body Lotion Cocoa (Var 13),281,0,2025-05-26
WH-GGN,BGT_SKU_014,Eye Cream Dark Circles (Var 14),176,0,2025-05-26
WH-GGN,BGT_SKU_015,Night Repair Oil (Var 15),154,0,2025-05-26
WH-GGN,BGT_SKU_016,Shaving Foam Sensitive (Var 16),97,0,2025-05-26
WH-GGN,BGT_SKU_017,Lip Balm Tinted (Var 17),287,0,2025-05-26
WH-GGN,BGT_SKU_018,Night Repair Oil (Var 18),4,0,2025-05-26
WH-GGN,BGT_SKU_019,Fragrance Eau De Parfum (Var 19),0,0,2025-05-26
WH-GGN,BGT_SKU_020,Sunscreen SPF 50 (Var 20),490,0,2025-05-26
WH-GGN,BGT_SKU_021,Shaving Foam Sensitive (Var 21),69,3,2025-05-26
WH-GGN,BGT_SKU_022,Exfoliating Scrub (Var 22),88,0,2025-05-26
WH-GGN,BGT_SKU_023,Exfoliating Scrub (Var 23),131,13,2025-05-26
WH-GGN,BGT_SKU_024,Night Repair Oil (Var 24),86,13,2025-05-26
WH-GGN,BGT_SKU_025,Night Repair Oil (Var 25),34,6,2025-05-26
WH-GGN,BGT_SKU_026,Deodorant Fresh (Var 26),79,9,2025-05-26
WH-GGN,BGT_SKU_027,Eye Cream Dark Circles (Var 27),55,0,2025-05-26
WH-GGN,BGT_SKU_028,Styling Gel Strong Hold (Var 28),38,1,2025-05-26
WH-GGN,BGT_SKU_029,Anti-Aging Cream (Var 29),498,0,2025-05-26
WH-GGN,BGT_SKU_030,Exfoliating Scrub (Var 30),457,4,2025-05-26
WH-GGN,BGT_SKU_031,Acne Spot Treatment (Var 31),0,0,2025-05-26
WH-GGN,BGT_SKU_032,Sheet Mask Brightening (Var 32),325,18,2025-05-26
WH-GGN,BGT_SKU_033,Anti-Aging Cream (Var 33),378,0,2025-05-26
WH-GGN,BGT_SKU_034,Lip Balm Tinted (Var 34),287,18,2025-05-26
WH-GGN,BGT_SKU_035,Lip Balm Tinted (Var 35),272,0,2025-05-26
WH-GGN,BGT_SKU_036,Conditioner Argan Oil (Var 36),355,0,2025-05-26
WH-GGN,BGT_SKU_037,Exfoliating Scrub (Var 37),119,0,2025-05-26
WH-GGN,BGT_SKU_038,Acne Spot Treatment (Var 38),294,23,2025-05-26
WH-GGN,BGT_SKU_039,Eye Cream Dark Circles (Var 39),124,0,2025-05-26
WH-GGN,BGT_SKU_040,Eye Cream Dark Circles (Var 40),35,5,2025-05-26
WH-GGN,BGT_SKU_041,Shaving Foam Sensitive (Var 41),317,42,2025-05-26
WH-GGN,BGT_SKU_042,Anti-Aging Cream (Var 42),310,0,2025-05-26
WH-GGN,BGT_SKU_043,Fragrance Eau De Parfum (Var 43),268,0,2025-05-26
WH-GGN,BGT_SKU_044,Shaving Foam Sensitive (Var 44),141,28,2025-05-26
WH-GGN,BGT_SKU_045,Acne Spot Treatment (Var 45),265,36,2025-05-26
WH-GGN,BGT_SKU_046,Hydrating Face Wash (Var 46),0,0,2025-05-26
WH-GGN,BGT_SKU_047,Shaving Foam Sensitive (Var 47),108,0,2025-05-26
WH-GGN,BGT_SKU_048,Eye Cream Dark Circles (Var 48),416,8,2025-05-26
WH-GGN,BGT_SKU_049,Night Repair Oil (Var 49),232,16,2025-05-26
WH-GGN,BGT_SKU_050,After Shave Balm (Var 50),0,0,2025-05-26
WH-GGN,BGT_SKU_051,After Shave Balm (Var 51),217,39,2025-05-26
WH-GGN,BGT_SKU_052,Exfoliating Scrub (Var 52),0,0,2025-05-26
WH-GGN,BGT_SKU_053,Charcoal Face Mask (Var 53),30,3,2025-05-26
WH-GGN,BGT_SKU_054,Conditioner Argan Oil (Var 54),486,0,2025-05-26
WH-GGN,BGT_SKU_055,Hydrating Face Wash (Var 55),294,45,2025-05-26
WH-GGN,BGT_SKU_056,Styling Gel Strong Hold (Var 56),0,0,2025-05-26
WH-GGN,BGT_SKU_057,Deodorant Fresh (Var 57),200,37,2025-05-26
WH-GGN,BGT_SKU_058,Vitamin C Serum (Var 58),337,11,2025-05-26
WH-GGN,BGT_SKU_059,Eye Cream Dark Circles (Var 59),165,9,2025-05-26
WH-GGN,BGT_SKU_060,Conditioner Argan Oil (Var 60),161,21,2025-05-26
WH-GGN,BGT_SKU_061,Vitamin C Serum (Var 61),476,0,2025-05-26
WH-GGN,BGT_SKU_062,Acne Spot Treatment (Var 62),176,4,2025-05-26
WH-GGN,BGT_SKU_063,Eye Cream Dark Circles (Var 63),478,0,2025-05-26
WH-GGN,BGT_SKU_064,Charcoal Face Mask (Var 64),425,12,2025-05-26
WH-GGN,BGT_SKU_065,Anti-Aging Cream (Var 65),240,32,2025-05-26
WH-GGN,BGT_SKU_066,Vitamin C Serum (Var 66),494,0,2025-05-26
WH-GGN,BGT_SKU_067,Shaving Foam Sensitive (Var 67),0,0,2025-05-26
WH-GGN,BGT_SKU_068,Beard Oil Premium (Var 68),11,0,2025-05-26
WH-GGN,BGT_SKU_069,Lip Balm Tinted (Var 69),244,16,2025-05-26
WH-GGN,BGT_SKU_070,After Shave Balm (Var 70),198,0,2025-05-26
WH-GGN,BGT_SKU_071,Acne Spot Treatment (Var 71),318,26,2025-05-26
WH-GGN,BGT_SKU_072,Conditioner Argan Oil (Var 72),347,0,2025-05-26
WH-GGN,BGT_SKU_073,Acne Spot Treatment (Var 73),470,0,2025-05-26
WH-GGN,BGT_SKU_074,Night Repair Oil (Var 74),0,0,2025-05-26
WH-GGN,BGT_SKU_075,Eye Cream Dark Circles (Var 75),99,8,2025-05-26
WH-GGN,BGT_SKU_076,Styling Gel Strong Hold (Var 76),500,0,2025-05-26
WH-GGN,BGT_SKU_077,Beard Oil Premium (Var 77),199,18,2025-05-26
WH-GGN,BGT_SKU_078,Vitamin C Serum (Var 78),121,4,2025-05-26
WH-GGN,BGT_SKU_079,Conditioner Argan Oil (Var 79),438,0,2025-05-26
WH-GGN,BGT_SKU_080,Acne Spot Treatment (Var 80),75,0,2025-05-26
WH-GGN,BGT_SKU_081,Deodorant Fresh (Var 81),0,0,2025-05-26
WH-GGN,BGT_SKU_082,Conditioner Argan Oil (Var 82),229,5,2025-05-26
WH-GGN,BGT_SKU_083,Conditioner Argan Oil (Var 83),0,0,2025-05-26
WH-GGN,BGT_SKU_084,Night Repair Oil (Var 84),202,0,2025-05-26
WH-GGN,BGT_SKU_085,Shaving Foam Sensitive (Var 85),315,0,2025-05-26
WH-GGN,BGT_SKU_086,Sunscreen SPF 50 (Var 86),409,0,2025-05-26
WH-GGN,BGT_SKU_087,After Shave Balm (Var 87),159,0,2025-05-26
WH-GGN,BGT_SKU_088,Body Lotion Cocoa (Var 88),436,5,2025-05-26
WH-GGN,BGT_SKU_089,Fragrance Eau De Parfum (Var 89),401,0,2025-05-26
WH-GGN,BGT_SKU_090,Conditioner Argan Oil (Var 90),0,0,2025-05-26
WH-GGN,BGT_SKU_091,Lip Balm Tinted (Var 91),193,34,2025-05-26
WH-GGN,BGT_SKU_092,Deodorant Fresh (Var 92),343,0,2025-05-26
WH-GGN,BGT_SKU_093,Acne Spot Treatment (Var 93),60,0,2025-05-26
WH-GGN,BGT_SKU_094,Body Lotion Cocoa (Var 94),218,21,2025-05-26
WH-GGN,BGT_SKU_095,Anti-Aging Cream (Var 95),275,0,2025-05-26
WH-GGN,BGT_SKU_096,Body Lotion Cocoa (Var 96),336,0,2025-05-26
WH-GGN,BGT_SKU_097,Charcoal Face Mask (Var 97),250,42,2025-05-26
WH-GGN,BGT_SKU_098,Hair Growth Shampoo (Var 98),281,0,2025-05-26
WH-GGN,BGT_SKU_099,Charcoal Face Mask (Var 99),279,48,2025-05-26
WH-GGN,BGT_SKU_100,Conditioner Argan Oil (Var 100),354,0,2025-05-26
WH-BLR,BGT_SKU_001,Styling Gel Strong Hold (Var 1),47,0,2025-05-26
WH-BLR,BGT_SKU_002,Night Repair Oil (Var 2),453,0,2025-05-26
WH-BLR,BGT_SKU_003,Hydrating Face Wash (Var 3),386,0,2025-05-26
WH-BLR,BGT_SKU_004,Deodorant Fresh (Var 4),141,0,2025-05-26
WH-BLR,BGT_SKU_005,Exfoliating Scrub (Var 5),489,0,2025-05-26
WH-BLR,BGT_SKU_006,Styling Gel Strong Hold (Var 6),237,38,2025-05-26
WH-BLR,BGT_SKU_007,Charcoal Face Mask (Var 7),358,10,2025-05-26
WH-BLR,BGT_SKU_008,Styling Gel Strong Hold (Var 8),494,18,2025-05-26
WH-BLR,BGT_SKU_009,Fragrance Eau De Parfum (Var 9),130,0,2025-05-26
WH-BLR,BGT_SKU_010,Shaving Foam Sensitive (Var 10),25,0,2025-05-26
WH-BLR,BGT_SKU_011,Sunscreen SPF 50 (Var 11),345,0,2025-05-26
WH-BLR,BGT_SKU_012,Styling Gel Strong Hold (Var 12),187,0,2025-05-26
WH-BLR,BGT_SKU_013,Body Lotion Cocoa (Var 13),74,0,2025-05-26
WH-BLR,BGT_SKU_014,Eye Cream Dark Circles (Var 14),365,41,2025-05-26
WH-BLR,BGT_SKU_015,Night Repair Oil (Var 15),33,0,2025-05-26
WH-BLR,BGT_SKU_016,Shaving Foam Sensitive (Var 16),0,0,2025-05-26
WH-BLR,BGT_SKU_017,Lip Balm Tinted (Var 17),405,32,2025-05-26
WH-BLR,BGT_SKU_018,Night Repair Oil (Var 18),125,0,2025-05-26
WH-BLR,BGT_SKU_019,Fragrance Eau De Parfum (Var 19),63,0,2025-05-26
WH-BLR,BGT_SKU_020,Sunscreen SPF 50 (Var 20),297,0,2025-05-26
WH-BLR,BGT_SKU_021,Shaving Foam Sensitive (Var 21),0,0,2025-05-26
WH-BLR,BGT_SKU_022,Exfoliating Scrub (Var 22),387,0,2025-05-26
WH-BLR,BGT_SKU_023,Exfoliating Scrub (Var 23),335,0,2025-05-26
WH-BLR,BGT_SKU_024,Night Repair Oil (Var 24),0,0,2025-05-26
WH-BLR,BGT_SKU_025,Night Repair Oil (Var 25),125,0,2025-05-26
WH-BLR,BGT_SKU_026,Deodorant Fresh (Var 26),409,38,2025-05-26
WH-BLR,BGT_SKU_027,Eye Cream Dark Circles (Var 27),57,0,2025-05-26
WH-BLR,BGT_SKU_028,Styling Gel Strong Hold (Var 28),15,1,2025-05-26
WH-BLR,BGT_SKU_029,Anti-Aging Cream (Var 29),452,0,2025-05-26
WH-BLR,BGT_SKU_030,Exfoliating Scrub (Var 30),351,34,2025-05-26
WH-BLR,BGT_SKU_031,Acne Spot Treatment (Var 31),44,5,2025-05-26
WH-BLR,BGT_SKU_032,Sheet Mask Brightening (Var 32),180,0,2025-05-26
WH-BLR,BGT_SKU_033,Anti-Aging Cream (Var 33),145,5,2025-05-26
WH-BLR,BGT_SKU_034,Lip Balm Tinted (Var 34),171,0,2025-05-26
WH-BLR,BGT_SKU_035,Lip Balm Tinted (Var 35),236,0,2025-05-26
WH-BLR,BGT_SKU_036,Conditioner Argan Oil (Var 36),72,0,2025-05-26
WH-BLR,BGT_SKU_037,Exfoliating Scrub (Var 37),431,0,2025-05-26
WH-BLR,BGT_SKU_038,Acne Spot Treatment (Var 38),263,0,2025-05-26
WH-BLR,BGT_SKU_039,Eye Cream Dark Circles (Var 39),0,0,2025-05-26
WH-BLR,BGT_SKU_040,Eye Cream Dark Circles (Var 40),294,8,2025-05-26
WH-BLR,BGT_SKU_041,Shaving Foam Sensitive (Var 41),153,5,2025-05-26
WH-BLR,BGT_SKU_042,Anti-Aging Cream (Var 42),168,18,2025-05-26
WH-BLR,BGT_SKU_043,Fragrance Eau De Parfum (Var 43),217,11,2025-05-26
WH-BLR,BGT_SKU_044,Shaving Foam Sensitive (Var 44),425,0,2025-05-26
WH-BLR,BGT_SKU_045,Acne Spot Treatment (Var 45),96,4,2025-05-26
WH-BLR,BGT_SKU_046,Hydrating Face Wash (Var 46),407,0,2025-05-26
WH-BLR,BGT_SKU_047,Shaving Foam Sensitive (Var 47),136,0,2025-05-26
WH-BLR,BGT_SKU_048,Eye Cream Dark Circles (Var 48),0,0,2025-05-26
WH-BLR,BGT_SKU_049,Night Repair Oil (Var 49),418,49,2025-05-26
WH-BLR,BGT_SKU_050,After Shave Balm (Var 50),13,0,2025-05-26
WH-BLR,BGT_SKU_051,After Shave Balm (Var 51),151,6,2025-05-26
WH-BLR,BGT_SKU_052,Exfoliating Scrub (Var 52),0,0,2025-05-26
WH-BLR,BGT_SKU_053,Charcoal Face Mask (Var 53),3,0,2025-05-26
WH-BLR,BGT_SKU_054,Conditioner Argan Oil (Var 54),251,14,2025-05-26
WH-BLR,BGT_SKU_055,Hydrating Face Wash (Var 55),252,40,2025-05-26
WH-BLR,BGT_SKU_056,Styling Gel Strong Hold (Var 56),496,0,2025-05-26
WH-BLR,BGT_SKU_057,Deodorant Fresh (Var 57),118,0,2025-05-26
WH-BLR,BGT_SKU_058,Vitamin C Serum (Var 58),348,3,2025-05-26
WH-BLR,BGT_SKU_059,Eye Cream Dark Circles (Var 59),0,0,2025-05-26
WH-BLR,BGT_SKU_060,Conditioner Argan Oil (Var 60),406,2,2025-05-26
WH-BLR,BGT_SKU_061,Vitamin C Serum (Var 61),269,23,2025-05-26
WH-BLR,BGT_SKU_062,Acne Spot Treatment (Var 62),30,0,2025-05-26
WH-BLR,BGT_SKU_063,Eye Cream Dark Circles (Var 63),273,29,2025-05-26
WH-BLR,BGT_SKU_064,Charcoal Face Mask (Var 64),0,0,2025-05-26
WH-BLR,BGT_SKU_065,Anti-Aging Cream (Var 65),244,0,2025-05-26
WH-BLR,BGT_SKU_066,Vitamin C Serum (Var 66),446,0,2025-05-26
WH-BLR,BGT_SKU_067,Shaving Foam Sensitive (Var 67),168,0,2025-05-26
WH-BLR,BGT_SKU_068,Beard Oil Premium (Var 68),98,10,2025-05-26
WH-BLR,BGT_SKU_069,Lip Balm Tinted (Var 69),340,0,2025-05-26
WH-BLR,BGT_SKU_070,After Shave Balm (Var 70),229,45,2025-05-26
WH-BLR,BGT_SKU_071,Acne Spot Treatment (Var 71),278,0,2025-05-26
WH-BLR,BGT_SKU_072,Conditioner Argan Oil (Var 72),221,0,2025-05-26
WH-BLR,BGT_SKU_073,Acne Spot Treatment (Var 73),54,0,2025-05-26
WH-BLR,BGT_SKU_074,Night Repair Oil (Var 74),0,0,2025-05-26
WH-BLR,BGT_SKU_075,Eye Cream Dark Circles (Var 75),461,0,2025-05-26
WH-BLR,BGT_SKU_076,Styling Gel Strong Hold (Var 76),0,0,2025-05-26
WH-BLR,BGT_SKU_077,Beard Oil Premium (Var 77),215,3,2025-05-26
WH-BLR,BGT_SKU_078,Vitamin C Serum (Var 78),39,0,2025-05-26
WH-BLR,BGT_SKU_079,Conditioner Argan Oil (Var 79),388,0,2025-05-26
WH-BLR,BGT_SKU_080,Acne Spot Treatment (Var 80),18,0,2025-05-26
WH-BLR,BGT_SKU_081,Deodorant Fresh (Var 81),170,0,2025-05-26
WH-BLR,BGT_SKU_082,Conditioner Argan Oil (Var 82),0,0,2025-05-26
WH-BLR,BGT_SKU_083,Conditioner Argan Oil (Var 83),337,13,2025-05-26
WH-BLR,BGT_SKU_084,Night Repair Oil (Var 84),0,0,2025-05-26
WH-BLR,BGT_SKU_085,Shaving Foam Sensitive (Var 85),281,17,2025-05-26
WH-BLR,BGT_SKU_086,Sunscreen SPF 50 (Var 86),327,0,2025-05-26
WH-BLR,BGT_SKU_087,After Shave Balm (Var 87),400,0,2025-05-26
WH-BLR,BGT_SKU_088,Body Lotion Cocoa (Var 88),0,0,2025-05-26
WH-BLR,BGT_SKU_089,Fragrance Eau De Parfum (Var 89),452,25,2025-05-26
WH-BLR,BGT_SKU_090,Conditioner Argan Oil (Var 90),147,13,2025-05-26
WH-BLR,BGT_SKU_091,Lip Balm Tinted (Var 91),91,0,2025-05-26
WH-BLR,BGT_SKU_092,Deodorant Fresh (Var 92),374,26,2025-05-26
WH-BLR,BGT_SKU_093,Acne Spot Treatment (Var 93),197,13,2025-05-26
WH-BLR,BGT_SKU_094,Body Lotion Cocoa (Var 94),460,44,2025-05-26
WH-BLR,BGT_SKU_095,Anti-Aging Cream (Var 95),313,0,2025-05-26
WH-BLR,BGT_SKU_096,Body Lotion Cocoa (Var 96),122,0,2025-05-26
WH-BLR,BGT_SKU_097,Charcoal Face Mask (Var 97),238,29,2025-05-26
WH-BLR,BGT_SKU_098,Hair Growth Shampoo (Var 98),397,0,2025-05-26
WH-BLR,BGT_SKU_099,Charcoal Face Mask (Var 99),121,0,2025-05-26
WH-BLR,BGT_SKU_100,Conditioner Argan Oil (Var 100),274,0,2025-05-26
WH-KOL,BGT_SKU_001,Styling Gel Strong Hold (Var 1),343,0,2025-05-26
WH-KOL,BGT_SKU_002,Night Repair Oil (Var 2),312,46,2025-05-26
WH-KOL,BGT_SKU_003,Hydrating Face Wash (Var 3),25,1,2025-05-26
WH-KOL,BGT_SKU_004,Deodorant Fresh (Var 4),230,0,2025-05-26
WH-KOL,BGT_SKU_005,Exfoliating Scrub (Var 5),169,22,2025-05-26
WH-KOL,BGT_SKU_006,Styling Gel Strong Hold (Var 6),255,0,2025-05-26
WH-KOL,BGT_SKU_007,Charcoal Face Mask (Var 7),4,0,2025-05-26
WH-KOL,BGT_SKU_008,Styling Gel Strong Hold (Var 8),206,0,2025-05-26
WH-KOL,BGT_SKU_009,Fragrance Eau De Parfum (Var 9),386,23,2025-05-26
WH-KOL,BGT_SKU_010,Shaving Foam Sensitive (Var 10),85,10,2025-05-26
WH-KOL,BGT_SKU_011,Sunscreen SPF 50 (Var 11),325,0,2025-05-26
WH-KOL,BGT_SKU_012,Styling Gel Strong Hold (Var 12),412,0,2025-05-26
WH-KOL,BGT_SKU_013,Body Lotion Cocoa (Var 13),174,0,2025-05-26
